Date,TweetsURL,Users,Source,Location,Tweets,Likes Count,Retweet Count,Tweet Quote_Count,Tweet Reply_Count
2022-09-24 00:49:17+00:00,https://twitter.com/Zoe62890244/status/1573474618756702229,Zoe62890244,Twitter Web App,Abuja,#BBNaija this pipo talking about Phyna ad Groovy that they are fighting…🙄 if only they know it’s green shirt that caused the fight,0,0,0,0
2022-09-24 00:49:11+00:00,https://twitter.com/FrankQ_Poet/status/1573474593360199680,FrankQ_Poet,Twitter for Android,Namibia,"🎯😎

Bryan askies??
ASKIES LAITIE?????
 ASKIES??????

Somebody hold my balls

#BBNaija https://t.co/1LtNulZSNS",0,0,0,0
2022-09-24 00:48:57+00:00,https://twitter.com/ViinohLegodi/status/1573474535927586846,ViinohLegodi,Twitter for Android,"Pretoria, South Africa","Bryann 🤣🤣🤣🤣
#BBNaija",0,0,0,0
2022-09-24 00:48:54+00:00,https://twitter.com/VannyUnholy/status/1573474522736500752,VannyUnholy,Twitter for iPhone,,Their fans should settle already these people fell for traps the fight was planned by one fan base like that #bbnaija https://t.co/kJe5vtY7Cp,0,0,0,0
2022-09-24 00:48:54+00:00,https://twitter.com/KumzMedia/status/1573474521100816384,KumzMedia,Twitter for iPhone,,"@k_u_n_m_ii @world_eazy @BBNaija @DStvNg Do you think he made it easy to understand him, he state opinion about others, even tho he’s not sure about it, outside the house he might later be close with some and they all let go, for now they chose their own word as well, and I’m sure he will also understand them.",0,0,0,0
2022-09-24 00:48:53+00:00,https://twitter.com/playyboyyy11/status/1573474519947280384,playyboyyy11,Twitter for iPhone,Asgard,@HugoqueenJ @RoyaltyIsphina @BBNaija Shut up… didn’t you see her smiling??😂,0,0,0,0
2022-09-24 00:48:42+00:00,https://twitter.com/Elula000/status/1573474471700209672,Elula000,Twitter for iPhone,Adekunle’s arms ,What did he instigate this time???😂😂😂😂 some of you will be unalive if you don’t talk about Adekunle #BBNaija https://t.co/8Adfx0nNEI,0,0,0,0
2022-09-24 00:48:30+00:00,https://twitter.com/QKhayode/status/1573474423302230016,QKhayode,Twitter for iPhone,"Lagos, Nigeria",@BBNaija Love drama 🎭,0,0,0,0
2022-09-24 00:48:25+00:00,https://twitter.com/ToluOlodeokuta/status/1573474401579835401,ToluOlodeokuta,Twitter for Android,Lost,@phyna_media @BBNaija This feels like a really long time ago😂,0,0,0,0
2022-09-24 00:48:20+00:00,https://twitter.com/cleoterria/status/1573474379207417871,cleoterria,Twitter for Android,,"The pool party was a bore now imagine d Saturday night party it would be worse oo.
this ones are gisting nd dissecting people #BBNaija #BBNaijaSeason7 #BBNaijaLevelUp #BBNaija2022 #BBNaija7 #BBNaijaS7 #bbnaija https://t.co/ldhM1qUgbo",2,0,0,0
2022-09-24 00:48:17+00:00,https://twitter.com/viwee456/status/1573474366347780096,viwee456,Twitter for Android,"Port Elizabeth, South Africa","He will speak his mind and that's that. It's on you if you will feel intimidated by that and think he knows it all.
#BryannIsBlack 
#BBNaija https://t.co/vopddMbGEb",1,1,0,0
2022-09-24 00:47:55+00:00,https://twitter.com/TheFlygurl007/status/1573474273288658950,TheFlygurl007,Twitter for Android,,"Your honour, it was a love bite planted surreptitiously by my client to weaken the respondent who had held her in a chokehold position on d cold floor of Biggie's house! In fact, we would like to counter sue🙄🤣🤣

#Phyna𓃰 
#BBNaija https://t.co/WlgVDxRN3G",5,0,0,0
2022-09-24 00:47:53+00:00,https://twitter.com/Trollerbbn/status/1573474265374007310,Trollerbbn,Twitter for iPhone,Troll Nation,Chi-Chi and Phyna have similarities. They both came with past housemates scripts and they are always looking for highlights #BBNaija,4,0,0,1
2022-09-24 00:47:51+00:00,https://twitter.com/AllaboutGroophy/status/1573474257442684929,AllaboutGroophy,Twitter for iPhone,United States,Adekunle the GrooPhy broadcaster 🎤#BBNaija #GroovyMono𓃵 #Phyna𓃰 #GrooPhy,7,0,1,0
2022-09-24 00:47:47+00:00,https://twitter.com/loveanddimples/status/1573474241651085312,loveanddimples,Twitter for iPhone,Nigeria,Adekunle you’ve started o 😒#BBNaija,6,0,0,1
2022-09-24 00:47:43+00:00,https://twitter.com/anieCiahh/status/1573474223019925520,anieCiahh,Twitter for Android,,"That aunty on that space is saying rubbish, madam please leave Bella alone #BBNaija",1,0,0,1
2022-09-24 00:47:39+00:00,https://twitter.com/Rugie065421292/status/1573474206410481673,Rugie065421292,Twitter for iPhone,,Kayode🙄 #BBNaija,0,0,0,0
2022-09-24 00:47:38+00:00,https://twitter.com/hottiegroovy/status/1573474205160579093,hottiegroovy,Twitter for Android,,"You say she bit our pink panther?
Make her un-bite am. 

#GroovyMono #BBNaija https://t.co/X1vzKZgsuk",6,0,0,1
2022-09-24 00:47:38+00:00,https://twitter.com/ViinohLegodi/status/1573474202186911744,ViinohLegodi,Twitter for Android,"Pretoria, South Africa","Bryann- Phyna is energetic 

#BBNaija",13,3,1,0
2022-09-24 00:47:34+00:00,https://twitter.com/Ugonnaya26/status/1573474185870974985,Ugonnaya26,Twitter for Android,World 🌎,"People like Danielle that talks fast, if they get annoyed ehn... the fastness will even increase more. 
You will need like subtitles to understand her. 
#BBNaija",4,0,0,1
2022-09-24 00:47:16+00:00,https://twitter.com/udoChinenye6/status/1573474109656371201,udoChinenye6,Twitter for Android,,"@officiallpaul @BBNaija No your mother is actually the lazy one here
#BBNaijaSeason7",0,0,0,0
